employee_id,date_soumission,montant,categorie,departement,ville,nb_justificatifs,anciennete_ans,salaire_mensuel,manager_approval,fraude
1102,2022-01-01 00:00:00,88.64,Téléphone,Direction,Paris,2,3,4552,0,0
1179,2022-01-01 06:00:00,245.86,Hébergement,Direction,Lyon,3,9,3131,1,0
1092,2022-01-01 12:00:00,1.2,Transport,Direction,Toulouse,3,7,5942,1,0
1014,2022-01-01 18:00:00,387.66,Transport,Direction,Toulouse,0,2,4254,1,0
1106,2022-01-02 00:00:00,87.86,Hébergement,Ventes,Lyon,0,11,5533,1,0
1071,2022-01-02 06:00:00,120.91,Formation,Ventes,Toulouse,0,8,4078,1,0
1188,2022-01-02 12:00:00,44.13,Repas,IT,Bordeaux,1,2,7807,1,0
1020,2022-01-02 18:00:00,203.53,Transport,Marketing,Paris,0,3,2525,1,0
1102,2022-01-03 00:00:00,11.96,Hébergement,Marketing,Marseille,2,5,4709,1,0
1121,2022-01-03 06:00:00,309.11,Hébergement,Marketing,Bordeaux,2,8,7692,1,0
1074,2022-01-03 12:00:00,264.14,Transport,Marketing,Marseille,3,1,7852,1,0
1087,2022-01-03 18:00:00,36.51,Transport,Direction,Toulouse,2,1,5402,1,0
1116,2022-01-04 00:00:00,248.58,Repas,Direction,Marseille,0,17,3629,0,1
1099,2022-01-04 06:00:00,231.52,Transport,Ventes,Zurich,2,2,7496,1,0
1103,2022-01-04 12:00:00,150.04,Transport,RH,Paris,3,2,6604,1,0
1151,2022-01-04 18:00:00,70.15,Hébergement,Finance,Marseille,1,17,6645,1,0
1130,2022-01-05 00:00:00,47.51,Fournitures,Direction,Paris,2,5,2941,1,0
1149,2022-01-05 06:00:00,39.55,Repas,Direction,Paris,3,0,6395,1,0
1052,2022-01-05 12:00:00,57.54,Repas,Direction,Lyon,3,14,7297,0,0
1001,2022-01-05 18:00:00,350.82,Repas,RH,Paris,0,10,7349,1,0
1087,2022-01-06 00:00:00,12.12,Repas,RH,New York,3,9,4328,1,0
1157,2022-01-06 06:00:00,264.8,Transport,Ventes,New York,2,3,4035,1,0
1037,2022-01-06 12:00:00,64.36,Téléphone,Direction,Lyon,3,13,6825,0,0
